n_features,method,adjusted_r_squared,,,,
25,BART,0.638426933,0.646763506,0.638371677,0.601637173,0.643041247
26,BART,0.639966794,0.651923829,0.594438362,0.587418483,0.649370757
27,BART,0.637992604,0.654494017,0.649811621,0.658648262,0.648149241
28,BART,0.645799889,0.636717089,0.625069974,0.592711085,0.592533799
29,BART,0.593097118,0.641598336,0.567421516,0.600558723,0.591554487
30,BART,0.657125332,0.650954537,0.647640603,0.604764134,0.602924619
1,TVS-RF,0.218615839,0,0.00743285,0,0.218615839
2,TVS-RF,0.560578966,0.569248,0.392032518,0.555325954,0.524247327
3,TVS-RF,0.599967574,0.599089434,0.601353996,0.603110357,0.603110357
4,TVS-RF,0.61205194,0.531044263,0.602910814,0.572399179,0.608046662
5,TVS-RF,0.601691364,0.598686103,0.6023543,0.615965251,0.608749791
6,TVS-RF,0.610886199,0.608154344,0.61536701,0.613106545,0.619457929
7,TVS-RF,0.618430808,0.617977536,0.629958349,0.61592216,0.615418125
8,TVS-RF,0.609795701,0.615224381,0.633654122,0.610365486,0.624494919
9,TVS-RF,0.627741589,0.613341286,0.623966285,0.613348466,0.607117615
10,TVS-RF,0.595737409,0.650459509,0.60691949,0.634300669,0.630122285
11,TVS-RF,0.616275341,0.628323542,0.631260679,0.630894601,0.625590757
12,TVS-RF,0.625691021,0.615240902,0.628281875,0.629094432,0.626995829
13,TVS-RF,0.594408972,0.633430788,0.633766144,0.649481535,0.639674226
14,TVS-RF,0.60613493,0.631679486,0.634145607,0.635497426,0.620037205
15,TVS-RF,0.627571921,0.63228046,0.65389581,0.671982738,0.633960645
16,TVS-RF,0.592020316,0.639626889,0.60498948,0.60345066,0.645117886
17,TVS-RF,0.62667009,0.64493829,0.624509221,0.633743383,0.596285556
18,TVS-RF,0.596081144,0.639453542,0.630813123,0.625309353,0.596081144
19,TVS-RF,0.630391199,0.644923615,0.639270894,0.638665328,0.595876524
20,TVS-RF,0.625082992,0.590552519,0.63134858,0.639088061,0.638074869
21,TVS-RF,0.631008103,0.644563497,0.634882517,0.64315185,0.644409962
22,TVS-RF,0.63038295,0.630820893,0.638721839,0.60453629,0.590778369
23,TVS-RF,0.636144,0.595055969,0.637545681,0.63002256,0.638692139
24,TVS-RF,0.638508641,0.624321352,0.594850309,0.594850309,0.6041346
25,TVS-RF,0.638324957,0.635928074,0.592656139,0.643687218,0.59464444
26,TVS-RF,0.643659998,0.645701325,0.579820193,0.630224072,0.603732093
27,TVS-RF,0.594232075,0.592241751,0.630035986,0.643478746,0.643478746
28,TVS-RF,0.635372239,0.594025577,0.594025577,0.603328767,0.637772781
29,TVS-RF,0.64311569,0.637588348,0.629659241,0.637588348,0.593818869
30,TVS-RF,0.635000739,0.602924619,0.59361195,0.59361195,0.59361195
1,TVS-BART,0.02952297,0.218615839,0.388645932,0.157567137,0
2,TVS-BART,0.115804123,0.070729355,0.119260929,0.145593492,0.478892486
3,TVS-BART,0.242801968,0.256365791,0.437049918,0.144808851,0.262100567
4,TVS-BART,0.40890516,0.406392263,0.496853267,0.373320191,0.347764667
5,TVS-BART,0.39571234,0.527507564,0.56323819,0.568200731,0.265944004
6,TVS-BART,0.437741785,0.475127834,0.585796252,0.562796181,0.603801828
7,TVS-BART,0.506134466,0.588312839,0.471218796,0.566674709,0.523449628
8,TVS-BART,0.610625707,0.550264967,0.5908732,0.582186647,0.460343947
9,TVS-BART,0.573626912,0.547975539,0.612222277,0.587440299,0.565799846
10,TVS-BART,0.644795146,0.609548177,0.615852343,0.597499935,0.632238606
11,TVS-BART,0.497176547,0.619537769,0.61088204,0.61759079,0.647669845
12,TVS-BART,0.652048264,0.597591925,0.622828939,0.615569531,0.610365144
13,TVS-BART,0.602597533,0.597388689,0.635615453,0.635167504,0.627274119
14,TVS-BART,0.627502519,0.591686376,0.63331312,0.649130108,0.630585748
15,TVS-BART,0.637749781,0.63606569,0.60904142,0.633947926,0.595947135
16,TVS-BART,0.640810822,0.651206787,0.659859846,0.639110005,0.639983258
17,TVS-BART,0.603249978,0.653583498,0.626863421,0.646885123,0.589374599
18,TVS-BART,0.638623974,0.662855523,0.646646953,0.603049092,0.645615187
19,TVS-BART,0.637199877,0.651595076,0.63943612,0.652413391,0.649757911
20,TVS-BART,0.644765591,0.647581477,0.629730692,0.602646708,0.638485278
21,TVS-BART,0.646967377,0.593211467,0.631745091,0.580885557,0.646967377
22,TVS-BART,0.638426581,0.655116696,0.594512142,0.646788263,0.639322927
23,TVS-BART,0.644426626,0.602325428,0.594306311,0.642309413,0.651821368
24,TVS-BART,0.594100271,0.65633994,0.64886852,0.637750865,0.637750865
25,TVS-BART,0.643841065,0.59464444,0.647587927,0.658060475,0.637566796
26,TVS-BART,0.637382539,0.593687561,0.646069988,0.60143465,0.643659998
27,TVS-BART,0.601516324,0.593511058,0.648470064,0.654239577,0.649983832
