n_features,method,adjusted_r_squared  run1,run 2,run 3, run  4,run5,均值,标准差
3,TVS-BART,0.055900655,0.052869249,0.65086798,0.873410352,0.870872909,0.500784229,0.417399753
4,TVS-BART,0.848988001,0.871410903,0.869963308,0.869471867,0.879321085,0.867831033,0.011259835
5,TVS-BART,0.879204824,0.232861583,0.878195255,0.884586383,0.87715479,0.750400567,0.289327274
6,TVS-BART,0.877528722,0.853451764,0.853451764,0.853451764,0.884407715,0.864458346,0.015266357
7,TVS-BART,0.853310308,0.853310308,0.853310308,0.880170402,0.878899759,0.863800217,0.014370923
8,TVS-BART,0.88107946,0.826757634,0.271242786,0.885240711,0.885240711,0.74991226,0.26872946
9,TVS-BART,0.883851055,0.853026576,0.890720072,0.88763167,0.889714038,0.880988682,0.015851133
10,TVS-BART,0.882723005,0.890005766,0.852884298,0.883738616,0.852884298,0.872447197,0.018074884
11,TVS-BART,0.852741744,0.826254023,0.852741744,0.888656122,0.885489888,0.861176704,0.026019897
12,TVS-BART,0.895819651,0.852598913,0.852598913,0.852598913,0.882495504,0.867222379,0.020570668
13,TVS-BART,0.889747419,0.852455805,0.852455805,0.896655622,0.89245573,0.876754076,0.022317327
14,TVS-BART,0.825747475,0.825747475,0.859222931,0.895412347,0.825747475,0.84637554,0.031008931
15,TVS-BART,0.890970755,0.852168754,0.825577968,0.852168754,0.825577968,0.84929284,0.026825271
16,TVS-BART,0.858948779,0.85202481,0.858948779,0.890864592,0.85202481,0.862562354,0.016195773
17,TVS-BART,0.825237964,0.896808613,0.851880584,0.813998089,0.89727719,0.857040488,0.039022971
18,TVS-BART,0.858673557,0.825067465,0.897176973,0.896707938,0.893136361,0.874152459,0.031812731
19,TVS-BART,0.824896632,0.824896632,0.858535543,0.89667211,0.824896632,0.84597951,0.031862427
20,TVS-BART,0.824725466,0.896505999,0.824725466,0.858397259,0.824725466,0.845815931,0.031867679
21,TVS-BART,0.824553964,0.824553964,0.824553964,0.898766667,0.824553964,0.839396505,0.03318893
22,TVS-BART,0.858119879,0.858119879,0.897550594,0.824382127,0.824382127,0.852510921,0.030306563
23,TVS-BART,0.81290396,0.824209952,0.85798078,0.824209952,0.824209952,0.828702919,0.017083329
24,TVS-BART,0.857841409,0.82403744,0.850863081,0.857841409,0.897843557,0.857685379,0.026417113
25,TVS-BART,0.823864589,0.899313673,0.823864589,0.900961102,0.857701764,0.861141143,0.038189277
26,TVS-BART,0.823691398,0.823691398,0.823691398,0.823691398,0.857561845,0.830465487,0.015147324
