n_features,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差
21,REVS-BART,0.872514594,0.032988788,REVS-RF,0.860736864,0.036831012,BART,0.856857089,0.033872162,TVS-RF,0.839536437,0.033501827,TVS-BART,0.839396505,0.03318893,DART,0.867997567,0.031851853,Lasso,0.814414883,0,SSLASSO,0.806086839,0.004655518,SIS,0.871312841,0.027402532
22,REVS-BART,0.844514948,0.032210355,REVS-RF,0.860655484,0.036934467,BART,0.867880684,0.039758702,TVS-RF,0.822123143,0.005051241,TVS-BART,0.852510921,0.030306563,DART,0.837877228,0.018478928,Lasso,0.812149064,0.004660078,SSLASSO,0.814233115,0,SIS,0.850461773,0.031381101
23,REVS-BART,0.834929689,0.014678604,REVS-RF,0.830964118,0.015102773,BART,0.830964118,0.015102773,TVS-RF,0.868799924,0.040707241,TVS-BART,0.828702919,0.017083329,DART,0.860523407,0.036977015,Lasso,0.811964897,0.004664647,SSLASSO,0.811964897,0.004664647,SIS,0.850315167,0.031411867
24,REVS-BART,0.845684472,0.032938353,REVS-RF,0.84519547,0.031962507,BART,0.828534816,0.017100094,TVS-RF,0.836775539,0.035152946,TVS-BART,0.857685379,0.026417113,DART,0.863276975,0.034952351,Lasso,0.809692227,0.005718609,SSLASSO,0.813868508,0,SIS,0.86556885,0.034182701
25,REVS-BART,0.867357007,0.031821125,REVS-RF,0.835133818,0.021114328,BART,0.85879569,0.037231374,TVS-RF,0.859110536,0.041463982,TVS-BART,0.861141143,0.038189277,DART,0.875206369,0.033624566,Lasso,0.811595476,0.004673811,SSLASSO,0.807415093,0.005724226,SIS,0.855391489,0.027993125
26,REVS-BART,0.837239576,0.018551608,REVS-RF,0.860296513,0.037320105,BART,0.88411024,0.033798861,TVS-RF,0.860296513,0.037320105,TVS-BART,0.830465487,0.015147324,DART,0.852024549,0.043649435,Lasso,0.837904902,0.031782362,SSLASSO,0.837239576,0.018551608,SIS,0.852519606,0.031528039
27,REVS-BART,0.838322675,0.033104561,REVS-RF,0.838448059,0.033384927,BART,0.846365056,0.035329709,TVS-RF,0.836177958,0.035000754,TVS-BART,0.849498271,0.046174659,DART,0.845134178,0.032846173,Lasso,0.859065227,0.026973111,SSLASSO,0.845503713,0.033587381,SIS,0.866545786,0.03120612
28,REVS-BART,0.835921826,0.034825523,REVS-RF,0.842803994,0.035253068,BART,0.855497677,0.0314945,TVS-RF,0.823343992,0,TVS-BART,0.844856093,0.032627724,DART,0.865622169,0.043964293,Lasso,0.823343992,0,SSLASSO,0.830131429,0.015177171,SIS,0.848294755,0.044777879
29,REVS-BART,0.8540044,0.042222634,REVS-RF,0.827689327,0.017184414,BART,0.820895196,0.005086112,TVS-RF,0.836758037,0.018606494,TVS-BART,0.829963906,0.015192139,DART,0.866582495,0.03163673,Lasso,0.820895196,0.005086112,SSLASSO,0.820895196,0.005086112,SIS,0.8448518,0.032957128
30,REVS-BART,0.867792686,0.040895116,REVS-RF,0.851188209,0.044056468,BART,0.843366529,0.032630644,TVS-RF,0.844770461,0.033133447,TVS-BART,0.83659689,0.018624862,DART,0.851476381,0.030788256,Lasso,0.844770461,0.033133447,SSLASSO,0.852944032,0.041009108,SIS,0.850523572,0.043141936
