n_features,method,r_squared,adjusted_r_squared
2,REVS-RF,0.833664352,0.833344783
3,REVS-RF,0.840787379,0.840328112
4,REVS-RF,0.870922924,0.870425996
5,REVS-RF,0.885072675,0.884519075
6,REVS-RF,0.854294803,0.853451764
7,REVS-RF,0.854294803,0.853310308
8,REVS-RF,0.878375236,0.877435141
9,REVS-RF,0.887640743,0.886662761
10,REVS-RF,0.88237645,0.881237791
11,REVS-RF,0.854294803,0.852741744
12,REVS-RF,0.898450787,0.897268837
13,REVS-RF,0.893941552,0.892602951
14,REVS-RF,0.861112556,0.859222931
15,REVS-RF,0.854294803,0.852168754
16,REVS-RF,0.894625155,0.892983482
17,REVS-RF,0.828086435,0.825237964
18,REVS-RF,0.900960987,0.899221765
19,REVS-RF,0.828086435,0.824896632
20,REVS-RF,0.828086435,0.824725466
21,REVS-RF,0.817029759,0.813270097
22,REVS-RF,0.90110098,0.898969954
23,REVS-RF,0.901490494,0.899269201
24,REVS-RF,0.828086435,0.82403744
25,REVS-RF,0.828086435,0.823864589
26,REVS-RF,0.828086435,0.823691398
27,REVS-RF,0.828086435,0.823517866
28,REVS-RF,0.828086435,0.823343992
29,REVS-RF,0.828086435,0.823169775
30,REVS-RF,0.900804922,0.897867259
1,REVS-BART,0.016157951,0.015213765
2,REVS-BART,0.172218535,0.170628177
3,REVS-BART,0.212603094,0.210331757
4,REVS-BART,0.706113407,0.704981986
5,REVS-BART,0.847088877,0.846352311
6,REVS-BART,0.877531727,0.876823135
7,REVS-BART,0.878944381,0.878126437
8,REVS-BART,0.879630146,0.878699751
9,REVS-BART,0.854294803,0.853026576
10,REVS-BART,0.828086435,0.826422218
11,REVS-BART,0.854294803,0.852741744
12,REVS-BART,0.854294803,0.852598913
13,REVS-BART,0.854294803,0.852455805
14,REVS-BART,0.891193808,0.889713451
15,REVS-BART,0.828086435,0.825577968
16,REVS-BART,0.892538769,0.890864592
17,REVS-BART,0.854294803,0.851880584
18,REVS-BART,0.854294803,0.851736078
19,REVS-BART,0.828086435,0.824896632
20,REVS-BART,0.828086435,0.824725466
21,REVS-BART,0.861112556,0.858258705
22,REVS-BART,0.828086435,0.824382127
23,REVS-BART,0.828086435,0.824209952
24,REVS-BART,0.861112556,0.857841409
25,REVS-BART,0.828086435,0.823864589
26,REVS-BART,0.828086435,0.823691398
27,REVS-BART,0.900804922,0.898168832
28,REVS-BART,0.861112556,0.857281178
29,REVS-BART,0.828086435,0.823169775
30,REVS-BART,0.828086435,0.822995214
1,REVS-RF,0.016157951,0.015213765
2,REVS-RF,0.834852723,0.834535437
3,REVS-RF,0.840787379,0.840328112
4,REVS-RF,0.818151496,0.817451405
5,REVS-RF,0.873918793,0.873311466
6,REVS-RF,0.873186177,0.872452442
7,REVS-RF,0.884366286,0.883584977
8,REVS-RF,0.828086435,0.826757634
9,REVS-RF,0.828086435,0.826590088
10,REVS-RF,0.892499013,0.891458346
11,REVS-RF,0.854294803,0.852741744
12,REVS-RF,0.894382428,0.893153126
13,REVS-RF,0.828086435,0.825916652
14,REVS-RF,0.899061477,0.897688164
15,REVS-RF,0.854294803,0.852168754
16,REVS-RF,0.861112556,0.858948779
17,REVS-RF,0.894552242,0.892805057
18,REVS-RF,0.861112556,0.858673557
19,REVS-RF,0.861112556,0.858535543
20,REVS-RF,0.828086435,0.824725466
21,REVS-RF,0.828086435,0.824553964
22,REVS-RF,0.901029554,0.898896988
23,REVS-RF,0.828086435,0.824209952
24,REVS-RF,0.903334997,0.901058294
25,REVS-RF,0.828086435,0.823864589
26,REVS-RF,0.861112556,0.857561845
27,REVS-RF,0.828086435,0.823517866
28,REVS-RF,0.828086435,0.823343992
29,REVS-RF,0.900804922,0.897967982
30,REVS-RF,0.828086435,0.822995214
1,REVS-BART,0.016157951,0.015213765
2,REVS-BART,0.18507432,0.183508661
3,REVS-BART,0.160120824,0.157698096
4,REVS-BART,0.84536257,0.844767239
5,REVS-BART,0.876015468,0.87541824
6,REVS-BART,0.854294803,0.853451764
7,REVS-BART,0.880819053,0.880013776
8,REVS-BART,0.885072675,0.884184348
9,REVS-BART,0.854294803,0.853026576
10,REVS-BART,0.828086435,0.826422218
11,REVS-BART,0.854294803,0.852741744
12,REVS-BART,0.854294803,0.852598913
13,REVS-BART,0.897932089,0.896643854
14,REVS-BART,0.854294803,0.852312419
15,REVS-BART,0.828086435,0.825577968
16,REVS-BART,0.854294803,0.85202481
17,REVS-BART,0.854294803,0.851880584
18,REVS-BART,0.828086435,0.825067465
19,REVS-BART,0.828086435,0.824896632
20,REVS-BART,0.900811237,0.898872063
21,REVS-BART,0.854294803,0.851300861
22,REVS-BART,0.854294803,0.85115522
23,REVS-BART,0.828086435,0.824209952
24,REVS-BART,0.861112556,0.857841409
25,REVS-BART,0.817029759,0.812536384
26,REVS-BART,0.828086435,0.823691398
27,REVS-BART,0.817029759,0.812167361
28,REVS-BART,0.817029759,0.811982304
29,REVS-BART,0.861112556,0.85714043
30,REVS-BART,0.817029759,0.811611095
1,REVS-RF,0.016157951,0.015213765
2,REVS-RF,0.833664352,0.833344783
3,REVS-RF,0.740924256,0.740176922
4,REVS-RF,0.844783091,0.844185528
5,REVS-RF,0.879566814,0.878986693
6,REVS-RF,0.880153741,0.87946032
7,REVS-RF,0.854294803,0.853310308
8,REVS-RF,0.828086435,0.826757634
9,REVS-RF,0.884631274,0.883627098
10,REVS-RF,0.87929183,0.878123309
11,REVS-RF,0.885151916,0.88392776
12,REVS-RF,0.861112556,0.859496019
13,REVS-RF,0.892549084,0.891192907
14,REVS-RF,0.828086435,0.825747475
15,REVS-RF,0.861112556,0.859085988
16,REVS-RF,0.899893326,0.898333728
17,REVS-RF,0.861112556,0.858811302
18,REVS-RF,0.828086435,0.825067465
19,REVS-RF,0.861112556,0.858535543
20,REVS-RF,0.894552242,0.892490702
