n_features,method,r_squared,adjusted_r_squared
2,REVS-RF,0.607806913,0.607412947
3,REVS-RF,0.561077793,0.560416101
4,REVS-RF,0.598394744,0.597587091
5,REVS-RF,0.575082152,0.574013445
6,REVS-RF,0.627409872,0.626284788
7,REVS-RF,0.618997925,0.617655017
8,REVS-RF,0.631145895,0.629659329
9,REVS-RF,0.618997925,0.617269589
10,REVS-RF,0.638080148,0.636255035
11,REVS-RF,0.616503573,0.614375188
12,REVS-RF,0.616503573,0.614180526
13,REVS-RF,0.628693413,0.626255542
14,REVS-RF,0.622699139,0.620030007
15,REVS-RF,0.628693413,0.625877641
16,REVS-RF,0.638015822,0.635086258
17,REVS-RF,0.608901669,0.605536957
18,REVS-RF,0.634896126,0.631568597
19,REVS-RF,0.642709857,0.639270894
20,REVS-RF,0.628693413,0.624929535
21,REVS-RF,0.634896126,0.631008103
22,REVS-RF,0.634292244,0.630210271
23,REVS-RF,0.640494957,0.63629769
24,REVS-RF,0.599729181,0.594850309
25,REVS-RF,0.640494957,0.635928074
26,REVS-RF,0.599729181,0.594438362
27,REVS-RF,0.599729181,0.594232075
28,REVS-RF,0.599729181,0.594025577
29,REVS-RF,0.640494957,0.635186583
30,REVS-RF,0.608901669,0.602924619
1,REVS-BART,0.219007903,0.218615839
2,REVS-BART,0.398463891,0.397859636
3,REVS-BART,0.511068718,0.510331635
4,REVS-BART,0.61520118,0.614427326
5,REVS-BART,0.597174683,0.596161541
6,REVS-BART,0.616832467,0.615675444
7,REVS-BART,0.624265879,0.622941539
8,REVS-BART,0.771609361,0.770688895
9,REVS-BART,0.641233074,0.639605603
10,REVS-BART,0.63315167,0.631301703
11,REVS-BART,0.632187016,0.630145672
12,REVS-BART,0.646790213,0.644650628
13,REVS-BART,0.640488873,0.638128446
14,REVS-BART,0.62759187,0.62495735
15,REVS-BART,0.585301715,0.582156885
16,REVS-BART,0.650742159,0.647915591
17,REVS-BART,0.645954373,0.642908434
18,REVS-BART,0.644646154,0.641407486
19,REVS-BART,0.598988175,0.595128385
20,REVS-BART,0.6498383,0.646288765
21,REVS-BART,0.651199049,0.647484637
22,REVS-BART,0.6498383,0.645929849
23,REVS-BART,0.657710872,0.653714603
24,REVS-BART,0.657710872,0.653538734
25,REVS-BART,0.585301715,0.580033699
26,REVS-BART,0.610258471,0.605106829
27,REVS-BART,0.599017933,0.593511058
28,REVS-BART,0.598988175,0.593274012
29,REVS-BART,0.599729181,0.593818869
30,REVS-BART,0.585301715,0.578963993
1,REVS-RF,0.219007903,0.218615839
2,REVS-RF,0.473380021,0.472851021
3,REVS-RF,0.525855943,0.525141153
4,REVS-RF,0.596684333,0.59587324
5,REVS-RF,0.616049975,0.615084306
6,REVS-RF,0.617237447,0.616081647
7,REVS-RF,0.631145895,0.629845805
8,REVS-RF,0.613573694,0.612016308
9,REVS-RF,0.616385772,0.614645586
10,REVS-RF,0.616385772,0.614451257
11,REVS-RF,0.595295617,0.593049528
12,REVS-RF,0.624380667,0.622105336
13,REVS-RF,0.630374942,0.627948111
14,REVS-RF,0.630374942,0.627760111
15,REVS-RF,0.622649765,0.61978816
16,REVS-RF,0.636577655,0.633636452
17,REVS-RF,0.594554611,0.591066467
18,REVS-RF,0.608190421,0.604619498
19,REVS-RF,0.628693413,0.625119541
20,REVS-RF,0.598988175,0.594923179
21,REVS-RF,0.62884533,0.624892871
22,REVS-RF,0.642709857,0.638721839
23,REVS-RF,0.640990387,0.636798905
24,REVS-RF,0.640494957,0.636112976
25,REVS-RF,0.640990387,0.636429798
26,REVS-RF,0.608901669,0.603732093
27,REVS-RF,0.599729181,0.594232075
28,REVS-RF,0.640343041,0.635218158
29,REVS-RF,0.640494957,0.635186583
30,REVS-RF,0.649520563,0.644164281
1,REVS-BART,0.219007903,0.218615839
2,REVS-BART,0.515079081,0.514591968
3,REVS-BART,0.511068718,0.510331635
4,REVS-BART,0.614370053,0.613594528
5,REVS-BART,0.607155091,0.60616705
6,REVS-BART,0.607572019,0.606387033
7,REVS-BART,0.622052543,0.620720402
