method,n_features,accuracy_mean,accuracy_var
REVS-RF,1,0.361256545,0
REVS-RF,2,0.465445026,0.000268633
REVS-RF,3,0.519895288,0.000464625
REVS-RF,4,0.503141361,0.000138428
REVS-RF,5,0.506282723,2.60E-05
REVS-RF,6,0.512041885,0.000115128
REVS-RF,7,0.520418848,0.000690085
REVS-RF,8,0.518324607,0.000205586
REVS-RF,9,0.526701571,0.000227516
REVS-RF,10,0.516753927,0.000416655
REVS-RF,11,0.528795812,0
REVS-RF,12,0.513089005,0.000205586
REVS-RF,13,0.542931937,0.001197884
REVS-RF,14,0.513089005,0.000205586
REVS-RF,15,0.504188482,0.000834681
REVS-RF,16,0.518324607,0.000205586
REVS-RF,17,0.509424084,0.000368685
REVS-RF,18,0.507853403,0.000137058
REVS-RF,19,0.502617801,0
REVS-RF,20,0.502617801,0
REVS-RF,21,0.509424084,0.000368685
REVS-RF,22,0.506282723,0.000402949
REVS-RF,23,0.49895288,0.000649653
REVS-RF,24,0.502617801,0
REVS-RF,25,0.490052356,0.000381706
REVS-RF,26,0.493717277,0.000396097
REVS-RF,27,0.527748691,0.001526822
REVS-RF,28,0.49895288,6.72E-05
REVS-RF,29,0.481151832,0.000498205
REVS-RF,30,0.49895288,6.72E-05
